year,country,co2,co2_per_capita,trade_co2,coal_co2,cement_co2,oil_co2,gas_co2,gas_co2_per_capita,co2_growth_prct,share_global_co2
1961,Austria,31.824,4.475,,17.66,1.523,9.552,3.089,0.434,3.38,0.34
1962,Austria,33.865,4.732,,18.087,1.512,11.026,3.239,0.453,6.41,0.35
1963,Austria,36.949,5.128,,19.599,1.635,12.337,3.378,0.469,9.11,0.36
1964,Austria,38.896,5.36,,18.937,1.865,14.573,3.521,0.485,5.27,0.36
1965,Austria,38.141,5.221,,17.965,1.999,14.755,3.422,0.468,-1.94,0.34
1966,Austria,39.209,5.333,,16.845,2.224,16.468,3.672,0.499,2.8,0.33
1967,Austria,39.916,5.396,,15.752,2.246,18.401,3.517,0.476,1.8,0.33
1968,Austria,42.297,5.685,,15.386,2.25,20.916,3.745,0.503,5.97,0.33
1969,Austria,44.638,5.968,,15.328,2.253,22.385,4.672,0.625,5.54,0.32
1970,Austria,50.632,6.736,,17.801,2.377,24.781,5.672,0.755,13.43,0.34
1971,Austria,52.069,6.896,,15.047,2.693,27.771,6.558,0.869,2.84,0.34
1972,Austria,56.071,7.396,,15.634,3.086,30.268,7.083,0.934,7.69,0.35
1973,Austria,60.016,7.889,,15.854,3.018,33.522,7.621,1.002,7.03,0.35
1974,Austria,57.294,7.513,,16.605,3.078,29.338,8.273,1.085,-4.53,0.34
1975,Austria,54.214,7.098,,14.564,2.672,28.869,8.108,1.062,-5.38,0.32
1976,Austria,58.204,7.618,,14.269,2.768,31.904,9.263,1.212,7.36,0.32
1977,Austria,55.994,7.332,,12.542,2.628,31.408,9.416,1.233,-3.8,0.3
1978,Austria,57.226,7.502,,12.836,2.721,31.868,9.802,1.285,2.2,0.3
1979,Austria,61.321,8.05,,14.436,2.573,34.552,9.761,1.281,7.16,0.31
1980,Austria,52.025,6.837,,14.19,2.48,26.071,9.284,1.22,-15.16,0.27
1981,Austria,55.833,7.342,,14.641,2.382,29.99,8.819,1.16,7.32,0.29
1982,Austria,53.565,7.046,,14.128,2.24,28.652,8.544,1.124,-4.06,0.28
1983,Austria,51.668,6.796,,14.396,2.171,26.417,8.684,1.142,-3.54,0.27
1984,Austria,54.214,7.127,,16.853,2.148,25.492,9.72,1.278,4.93,0.28
1985,Austria,54.366,7.14,,16.657,1.982,25.326,10.402,1.366,0.28,0.27
1986,Austria,53.729,7.046,,14.726,1.967,27.788,9.248,1.213,-1.17,0.26
1987,Austria,57.374,7.51,,14.799,1.93,31.012,9.633,1.261,6.78,0.27
1988,Austria,52.937,6.912,,14.286,2.015,27.407,9.23,1.205,-7.73,0.24
1989,Austria,53.696,6.986,,13.845,1.99,27.812,10.05,1.307,1.43,0.24
1990,Austria,62.14,8.045,25.849,18.139,2.033,28.899,11.831,1.532,15.73,0.27
1991,Austria,65.738,8.458,23.987,18.699,2.005,31.407,12.496,1.608,5.79,0.28
1992,Austria,60.236,7.692,31.403,14.386,2.105,30.152,12.511,1.598,-8.37,0.27
1993,Austria,60.661,7.686,27.125,13.274,2.032,31.265,13.012,1.649,0.7,0.27
1994,Austria,61.034,7.68,26.515,13.456,2.102,30.714,13.644,1.717,0.62,0.27
1995,Austria,64.011,8.011,27.546,15.423,1.631,30.852,14.887,1.863,4.88,0.27
1996,Austria,67.355,8.401,31.712,15.068,1.634,33.777,15.784,1.969,5.22,0.28
1997,Austria,67.252,8.372,26.454,16.156,1.761,32.852,15.289,1.903,-0.15,0.28
1998,Austria,66.887,8.318,30.285,13.706,1.599,34.66,15.706,1.953,-0.54,0.28
1999,Austria,65.64,8.153,30.021,13.875,1.607,32.833,16.091,1.999,-1.86,0.27
2000,Austria,66.139,8.196,30.426,15.753,1.712,32.163,15.255,1.89,0.76,0.26
2001,Austria,70.139,8.662,28.901,16.564,1.72,34.411,16.147,1.994,6.05,0.28
2002,Austria,71.943,8.844,27.464,16.737,1.736,36.057,16.06,1.974,2.57,0.28
2003,Austria,77.451,9.473,23.353,18.023,1.754,39.082,17.258,2.111,7.66,0.28
2004,Austria,77.668,9.452,26.069,17.766,1.79,39.1,17.652,2.148,0.28,0.27
2005,Austria,79.068,9.58,27.08,17.862,1.797,39.393,18.691,2.264,1.8,0.27
2006,Austria,76.796,9.269,31.447,17.865,1.954,38.132,17.487,2.111,-2.87,0.25
2007,Austria,74.097,8.913,28.691,17.455,2.131,36.624,16.486,1.983,-3.52,0.24
2008,Austria,73.472,8.808,27.789,17.028,2.133,35.481,17.426,2.089,-0.84,0.23
2009,Austria,67.291,8.037,25.491,12.833,1.799,34.417,17.026,2.034,-8.41,0.21
2010,Austria,72.0,8.561,26.542,15.501,1.622,34.801,18.77,2.232,7.0,0.22
2011,Austria,69.889,8.267,31.648,15.819,1.666,33.29,17.722,2.096,-2.93,0.2
2012,Austria,67.263,7.911,28.902,14.687,1.673,32.649,16.937,1.992,-3.76,0.19
2013,Austria,67.759,7.919,26.458,14.96,1.656,33.468,16.324,1.908,0.74,0.19
2014,Austria,64.161,7.447,26.931,13.802,1.639,32.433,14.938,1.734,-5.31,0.18
2015,Austria,66.352,7.645,25.592,14.373,1.701,33.01,15.959,1.839,3.41,0.19
2016,Austria,67.215,7.684,25.349,13.335,1.729,34.123,16.729,1.912,1.3,0.19
2017,Austria,69.599,7.891,25.393,14.023,1.71,34.561,17.966,2.037,3.55,0.19
2018,Austria,66.565,7.486,26.518,12.292,1.827,34.105,17.011,1.913,-4.36,0.18
2019,Austria,67.962,7.589,23.659,13.008,1.771,34.122,17.782,1.986,2.1,0.19
2020,Austria,60.635,6.732,,10.205,1.771,30.342,17.037,1.892,-10.78,0.17
1830,Azerbaijan,0.0,0.0,,0.0,,,,,,0.0
1831,Azerbaijan,0.0,0.0,,0.0,,,,,20.16,0.0
1832,Azerbaijan,0.0,0.0,,0.0,,,,,-33.56,0.0
1833,Azerbaijan,0.0,0.0,,0.0,,,,,25.26,0.0
1834,Azerbaijan,,,,,,,,,0.0,
1835,Azerbaijan,,,,,,,,,0.0,
1836,Azerbaijan,,,,,,,,,0.0,
1837,Azerbaijan,,,,,,,,,0.0,
1838,Azerbaijan,,,,,,,,,0.0,
1839,Azerbaijan,,,,,,,,,0.0,
1840,Azerbaijan,,,,,,,,,0.0,
1841,Azerbaijan,,,,,,,,,0.0,
1842,Azerbaijan,,,,,,,,,0.0,
1843,Azerbaijan,,,,,,,,,0.0,
1844,Azerbaijan,,,,,,,,,0.0,
1845,Azerbaijan,,,,,,,,,0.0,
1846,Azerbaijan,,,,,,,,,0.0,
1847,Azerbaijan,,,,,,,,,0.0,
1848,Azerbaijan,,,,,,,,,0.0,
1849,Azerbaijan,,,,,,,,,0.0,
1850,Azerbaijan,0.002,0.001,,0.002,,,,,519.75,0.0
1851,Azerbaijan,,,,,,,,,0.0,
1852,Azerbaijan,,,,,,,,,0.0,
1853,Azerbaijan,,,,,,,,,0.0,
1854,Azerbaijan,,,,,,,,,0.0,
1855,Azerbaijan,0.005,0.004,,0.005,,,,,203.32,0.0
1856,Azerbaijan,,,,,,,,,0.0,
1857,Azerbaijan,,,,,,,,,0.0,
1858,Azerbaijan,0.006,0.005,,0.006,,,,,40.43,0.0
1859,Azerbaijan,0.007,0.005,,0.007,,,,,6.05,0.0
1860,Azerbaijan,0.009,0.007,,0.004,,0.005,,,32.15,0.0
1861,Azerbaijan,0.011,0.009,,0.006,,0.006,,,27.03,0.0
1862,Azerbaijan,0.01,0.008,,0.005,,0.005,,,-9.79,0.0
1863,Azerbaijan,0.011,0.008,,0.004,,0.007,,,4.72,0.0
1864,Azerbaijan,0.012,0.009,,0.004,,0.008,,,12.16,0.0
1865,Azerbaijan,0.012,0.009,,0.003,,0.008,,,-4.41,0.0
1866,Azerbaijan,0.037,0.027,,0.019,,0.017,,,215.96,0.01
1867,Azerbaijan,0.042,0.031,,0.02,,0.022,,,14.76,0.01
1868,Azerbaijan,0.035,0.026,,0.01,,0.025,,,-16.8,0.01
1869,Azerbaijan,0.047,0.034,,0.017,,0.03,,,35.66,0.01
1870,Azerbaijan,0.051,0.037,,0.02,,0.032,,,8.52,0.01
1871,Azerbaijan,0.069,0.049,,0.035,,0.034,,,35.01,0.01
1872,Azerbaijan,0.071,0.05,,0.035,,0.036,,,2.66,0.01
1873,Azerbaijan,0.067,0.047,,0.019,,0.048,,,-6.14,0.01
1874,Azerbaijan,0.081,0.056,,0.019,,0.062,,,21.38,0.01
1875,Azerbaijan,0.093,0.064,,0.016,,0.077,,,15.1,0.01
1876,Azerbaijan,0.116,0.079,,0.016,,0.1,,,24.15,0.02
1877,Azerbaijan,0.118,0.08,,0.012,,0.107,,,2.05,0.02
1878,Azerbaijan,0.155,0.103,,0.016,,0.138,,,30.69,0.02
1879,Azerbaijan,0.159,0.105,,0.014,,0.145,,,2.61,0.02
1880,Azerbaijan,0.186,0.122,,0.017,,0.169,,,17.31,0.02
1881,Azerbaijan,0.196,0.128,,0.013,,0.183,,,5.33,0.02
1882,Azerbaijan,0.206,0.133,,0.014,,0.193,,,5.33,0.02
1883,Azerbaijan,0.235,0.15,,0.016,,0.219,,,13.82,0.02
1884,Azerbaijan,0.239,0.151,,0.011,,0.228,,,1.53,0.02
1885,Azerbaijan,0.26,0.163,,0.009,,0.25,,,8.92,0.03
1886,Azerbaijan,0.267,0.166,,0.01,,0.257,,,2.56,0.03
1887,Azerbaijan,0.282,0.174,,0.008,,0.274,,,5.82,0.03
1888,Azerbaijan,0.294,0.179,,0.008,,0.286,,,4.31,0.02
1889,Azerbaijan,0.318,0.192,,0.009,,0.308,,,8.0,0.03
1890,Azerbaijan,0.36,0.215,,0.01,,0.35,,,13.25,0.03
1891,Azerbaijan,0.396,0.235,,0.009,,0.387,,,10.1,0.03
1892,Azerbaijan,0.419,0.246,,0.01,,0.409,,,5.85,0.03
1893,Azerbaijan,0.491,0.286,,0.011,,0.48,,,17.21,0.04
1894,Azerbaijan,0.501,0.289,,0.014,,0.487,,,1.85,0.04
1895,Azerbaijan,0.575,0.329,,0.012,,0.563,,,14.9,0.04
1896,Azerbaijan,0.585,0.332,,0.013,,0.573,,,1.8,0.04
1897,Azerbaijan,0.677,0.38,,0.015,,0.662,,,15.62,0.04
1898,Azerbaijan,0.759,0.422,,0.017,,0.743,,,12.15,0.04
1899,Azerbaijan,0.881,0.486,,0.022,,0.859,,,16.01,0.05
1900,Azerbaijan,0.998,0.545,,0.024,,0.974,,,13.28,0.05
1901,Azerbaijan,1.024,0.555,,0.021,,1.003,,,2.66,0.05
1902,Azerbaijan,0.989,0.531,,0.021,,0.968,,,-3.42,0.05
1903,Azerbaijan,0.968,0.514,,0.023,,0.944,,,-2.18,0.04
1904,Azerbaijan,1.077,0.567,,0.029,,1.048,,,11.26,0.05
1905,Azerbaijan,0.961,0.502,,0.034,,0.927,,,-10.74,0.04
1906,Azerbaijan,1.096,0.567,,0.039,,1.058,,,14.06,0.04
1907,Azerbaijan,1.228,0.629,,0.047,,1.181,,,12.01,0.04
1908,Azerbaijan,1.235,0.627,,0.047,,1.188,,,0.61,0.04
1909,Azerbaijan,1.304,0.656,,0.049,,1.255,,,5.56,0.05
1910,Azerbaijan,1.279,0.638,,0.045,,1.234,,,-1.93,0.04
1911,Azerbaijan,1.326,0.655,,0.052,,1.274,,,3.68,0.04
1912,Azerbaijan,1.502,0.735,,0.068,,1.434,,,13.28,0.05
1913,Azerbaijan,1.632,0.791,,0.085,,1.547,,,8.63,0.05
1914,Azerbaijan,1.473,0.708,,0.064,,1.408,,,-9.75,0.05
1915,Azerbaijan,1.352,0.644,,0.047,,1.304,,,-8.21,0.04
1916,Azerbaijan,1.441,0.68,,0.05,,1.391,,,6.58,0.04
1917,Azerbaijan,1.326,0.62,,0.048,,1.278,,,-7.97,0.04
1918,Azerbaijan,0.529,0.245,,0.018,,0.511,,,-60.12,0.02
1919,Azerbaijan,0.452,0.207,,0.009,,0.442,,,-14.59,0.01
1920,Azerbaijan,0.412,0.187,,0.009,,0.403,,,-8.81,0.01
1921,Azerbaijan,0.447,0.201,,0.011,,0.433,0.002,0.001,8.45,0.01
1922,Azerbaijan,0.545,0.243,,0.014,,0.529,0.002,0.001,21.96,0.02
1923,Azerbaijan,0.602,0.266,,0.015,,0.586,0.001,0.0,10.46,0.02
1924,Azerbaijan,0.717,0.314,,0.021,,0.684,0.011,0.005,19.14,0.02
1925,Azerbaijan,0.708,0.308,,0.019,,0.671,0.017,0.008,-1.3,0.02
1926,Azerbaijan,1.025,0.442,,0.036,,0.965,0.025,0.011,44.89,0.03
1927,Azerbaijan,1.275,0.544,,0.047,,1.201,0.027,0.012,24.33,0.03
1928,Azerbaijan,1.404,0.594,,0.059,0.007,1.304,0.033,0.014,10.13,0.04
1929,Azerbaijan,1.512,0.634,,0.054,0.009,1.413,0.036,0.015,7.75,0.04
1930,Azerbaijan,2.063,0.857,,0.048,0.012,1.97,0.034,0.014,36.44,0.05
1931,Azerbaijan,2.48,1.021,,0.057,0.013,2.356,0.055,0.023,20.21,0.07
1932,Azerbaijan,2.791,1.138,,0.082,0.013,2.617,0.079,0.032,12.54,0.09
1933,Azerbaijan,3.122,1.262,,0.106,0.01,2.904,0.102,0.041,11.86,0.09
1934,Azerbaijan,3.774,1.511,,0.138,0.014,3.482,0.14,0.056,20.86,0.1
1935,Azerbaijan,4.267,1.692,,0.171,0.017,3.903,0.176,0.07,13.05,0.11
1936,Azerbaijan,4.886,1.92,,0.207,0.023,4.428,0.228,0.09,14.51,0.12
1937,Azerbaijan,5.0,1.948,,0.206,0.021,4.536,0.238,0.092,2.35,0.11
1938,Azerbaijan,5.278,2.037,,0.217,0.022,4.8,0.239,0.092,5.56,0.13
1939,Azerbaijan,5.343,2.043,,0.221,0.022,4.859,0.241,0.092,1.23,0.12
1940,Azerbaijan,6.404,2.427,,0.314,0.022,5.668,0.4,0.152,19.86,0.13
1941,Azerbaijan,5.627,2.113,,0.245,0.022,5.36,,,-12.14,0.11
1942,Azerbaijan,3.08,1.146,,0.061,,3.019,,,-45.26,0.06
1943,Azerbaijan,3.214,1.185,,0.082,,3.133,,,4.37,0.06
1944,Azerbaijan,4.662,1.703,,0.13,,4.531,,,45.02,0.09
1945,Azerbaijan,4.918,1.78,,0.295,0.007,4.138,0.477,0.173,5.5,0.12
1946,Azerbaijan,5.515,1.978,,0.322,0.013,4.644,0.535,0.192,12.13,0.12
1947,Azerbaijan,6.634,2.358,,0.383,0.019,5.584,0.648,0.23,20.31,0.13
1948,Azerbaijan,7.05,2.483,,0.386,0.026,5.951,0.686,0.242,6.26,0.13
1949,Azerbaijan,8.011,2.784,,0.431,0.031,6.848,0.7,0.243,13.63,0.15
1950,Azerbaijan,8.918,3.046,,0.471,0.041,7.498,0.908,0.31,11.33,0.15
1951,Azerbaijan,9.657,3.233,,0.512,0.049,8.111,0.985,0.33,8.28,0.15
1952,Azerbaijan,10.341,3.379,,0.521,0.055,8.799,0.965,0.315,7.08,0.16
1953,Azerbaijan,10.939,3.481,,0.525,0.063,9.353,0.998,0.318,5.78,0.16
1954,Azerbaijan,11.939,3.693,,0.563,0.075,10.227,1.074,0.332,9.14,0.18
1955,Azerbaijan,13.538,4.066,,0.614,0.089,11.585,1.25,0.376,13.4,0.18
1956,Azerbaijan,14.86,4.331,,0.617,0.098,12.57,1.575,0.459,9.76,0.19
1957,Azerbaijan,16.271,4.6,,0.616,0.114,13.25,2.291,0.648,9.5,0.2
1958,Azerbaijan,17.381,4.763,,0.582,0.132,13.552,3.115,0.854,6.82,0.21
1959,Azerbaijan,18.278,4.85,,0.557,0.154,13.856,3.711,0.985,5.16,0.21
1960,Azerbaijan,19.037,4.887,,0.516,0.181,13.981,4.36,1.119,4.16,0.2
1961,Azerbaijan,19.653,4.876,,0.464,0.202,13.822,5.164,1.281,3.23,0.21
1962,Azerbaijan,20.649,4.95,,0.422,0.228,14.128,5.871,1.408,5.07,0.21
1963,Azerbaijan,22.166,5.137,,0.416,0.243,14.681,6.826,1.582,7.34,0.22
1964,Azerbaijan,23.592,5.294,,0.409,0.259,15.008,7.916,1.776,6.43,0.22
1965,Azerbaijan,25.035,5.451,,0.409,0.289,15.476,8.86,1.929,6.12,0.22
1966,Azerbaijan,26.444,5.601,,0.412,0.32,16.134,9.578,2.029,5.63,0.22
1967,Azerbaijan,27.669,5.712,,0.399,0.34,16.872,10.058,2.076,4.63,0.23
1968,Azerbaijan,28.464,5.738,,0.379,0.351,17.267,10.467,2.11,2.87,0.22
1969,Azerbaijan,29.657,5.847,,0.375,0.361,18.013,10.908,2.151,4.19,0.22
1970,Azerbaijan,31.183,6.02,,0.408,0.383,20.063,10.329,1.994,5.15,0.21
1971,Azerbaijan,33.112,6.266,,0.404,0.403,20.752,11.345,2.147,6.19,0.21
1972,Azerbaijan,34.854,6.472,,0.409,0.419,22.12,11.712,2.175,5.26,0.21
1973,Azerbaijan,36.344,6.628,,0.403,0.44,23.195,12.081,2.203,4.28,0.21
1974,Azerbaijan,37.749,6.766,,0.394,0.462,24.189,12.463,2.234,3.86,0.22
1975,Azerbaijan,39.695,6.996,,0.399,0.489,25.162,13.382,2.358,5.16,0.23
1976,Azerbaijan,41.226,7.146,,0.405,0.491,25.488,14.554,2.523,3.86,0.23
1977,Azerbaijan,42.634,7.272,,0.406,0.496,26.031,15.393,2.625,3.41,0.23
1978,Azerbaijan,44.109,7.403,,0.393,0.489,27.184,15.722,2.639,3.46,0.23
1979,Azerbaijan,44.478,7.347,,0.388,0.467,26.944,16.507,2.727,0.84,0.23
1980,Azerbaijan,46.222,7.515,,0.413,0.469,27.801,17.365,2.823,3.92,0.24
1981,Azerbaijan,45.371,7.26,,0.355,0.474,26.692,17.686,2.83,-1.84,0.24
1982,Azerbaijan,46.23,7.281,,0.358,0.458,26.647,18.604,2.93,1.89,0.24
1983,Azerbaijan,46.897,7.269,,0.35,0.472,26.241,19.677,3.05,1.44,0.25
1984,Azerbaijan,47.323,7.217,,0.344,0.476,25.318,21.032,3.207,0.91,0.24
1985,Azerbaijan,51.021,7.654,,0.402,0.475,26.256,23.72,3.558,7.81,0.25
1986,Azerbaijan,53.134,7.838,,0.404,0.487,27.395,24.701,3.644,4.14,0.26
1987,Azerbaijan,50.438,7.317,,0.401,0.491,22.603,26.807,3.889,-5.08,0.24
1988,Azerbaijan,51.327,7.322,,0.414,0.495,23.311,26.811,3.825,1.76,0.23
1989,Azerbaijan,51.372,7.208,,0.413,0.494,22.455,27.722,3.89,0.09,0.23
1990,Azerbaijan,51.38,7.094,-22.903,0.343,0.478,22.571,27.797,3.838,0.02,0.23
1991,Azerbaijan,50.034,6.8,-28.133,0.252,0.467,22.544,26.594,3.614,-2.62,0.22
1992,Azerbaijan,56.174,7.518,-42.267,0.066,0.379,31.225,22.6,3.025,12.27,0.25
1993,Azerbaijan,48.406,6.385,-24.023,0.011,0.294,30.818,17.283,2.28,-13.83,0.21
1994,Azerbaijan,41.944,5.459,-22.668,0.004,0.237,25.032,16.671,2.17,-13.35,0.18
1995,Azerbaijan,33.309,4.284,-9.938,0.015,0.103,19.885,13.308,1.712,-20.59,0.14
1996,Azerbaijan,31.242,3.977,-2.679,0.015,0.12,19.37,11.737,1.494,-6.21,0.13
1997,Azerbaijan,29.802,3.76,-4.007,0.015,0.175,18.551,11.062,1.396,-4.61,0.12
1998,Azerbaijan,31.666,3.963,-1.491,0.004,0.115,20.948,10.599,1.326,6.25,0.13
1999,Azerbaijan,28.57,3.547,-1.837,,0.104,16.777,11.688,1.451,-9.78,0.12
2000,Azerbaijan,29.506,3.633,-3.823,,0.121,17.965,11.421,1.406,3.28,0.12
2001,Azerbaijan,28.791,3.512,-2.726,,0.304,11.278,16.576,2.022,-2.42,0.11
2002,Azerbaijan,29.641,3.581,-0.078,,0.472,11.287,16.622,2.008,2.95,0.11
2003,Azerbaijan,30.624,3.662,2.927,,0.539,12.697,17.054,2.04,3.32,0.11
2004,Azerbaijan,32.077,3.797,3.998,,0.724,12.731,18.622,2.204,4.75,0.11
2005,Azerbaijan,34.286,4.016,0.299,,0.742,14.638,18.533,2.17,6.89,0.12
2006,Azerbaijan,39.109,4.532,0.661,,0.783,12.977,20.465,2.371,14.06,0.13
2007,Azerbaijan,30.459,3.491,0.77,0.022,0.817,11.456,17.578,2.015,-22.12,0.1
2008,Azerbaijan,35.45,4.018,-0.295,0.015,0.77,10.607,20.738,2.351,16.38,0.11
2009,Azerbaijan,31.856,3.57,-0.314,0.015,0.621,9.241,18.789,2.105,-10.14,0.1
2010,Azerbaijan,30.633,3.391,-0.474,0.022,0.617,8.695,17.968,1.989,-3.84,0.09
2011,Azerbaijan,32.976,3.605,-0.393,0.018,0.465,10.264,19.026,2.08,7.65,0.1
2012,Azerbaijan,35.048,3.783,0.625,0.015,0.658,11.641,19.833,2.141,6.29,0.1
2013,Azerbaijan,35.215,3.752,2.042,0.011,0.722,12.066,19.936,2.124,0.47,0.1
2014,Azerbaijan,36.975,3.89,2.665,0.007,0.925,11.633,21.2,2.23,5.0,0.1
2015,Azerbaijan,36.989,3.844,3.6,0.011,0.843,11.52,21.933,2.279,0.04,0.1
2016,Azerbaijan,37.055,3.806,2.198,0.004,0.726,12.128,21.508,2.209,0.18,0.1
2017,Azerbaijan,36.73,3.731,2.504,0.004,0.929,12.48,20.892,2.122,-0.88,0.1
2018,Azerbaijan,36.847,3.703,2.312,0.004,1.083,11.809,21.284,2.139,0.32,0.1
2019,Azerbaijan,38.725,3.854,1.645,0.004,1.083,11.771,23.2,2.309,5.1,0.11
2020,Azerbaijan,37.72,3.72,,0.004,1.083,10.561,23.405,2.308,-2.59,0.11
1950,Bahamas,0.055,0.695,,,,0.055,,,,0.0
1951,Bahamas,0.066,0.824,,,,0.066,,,20.0,0.0
1952,Bahamas,0.077,0.945,,,,0.077,,,16.67,0.0
1953,Bahamas,0.081,0.967,,,,0.081,,,4.76,0.0
1954,Bahamas,0.084,0.982,,,,0.084,,,4.55,0.0
1955,Bahamas,0.128,1.447,,,,0.128,,,52.17,0.0
1956,Bahamas,0.139,1.515,,,,0.139,,,8.57,0.0
1957,Bahamas,0.176,1.839,,,,0.176,,,26.32,0.0
1958,Bahamas,0.18,1.799,,,,0.18,,,2.08,0.0
1959,Bahamas,0.26,2.491,,,,0.26,,,44.9,0.0
1960,Bahamas,0.41,3.747,,,,0.41,,,57.75,0.0
1961,Bahamas,0.546,4.742,,,,0.546,,,33.04,0.01
1962,Bahamas,0.725,5.991,,,,0.725,,,32.89,0.01
1963,Bahamas,0.707,5.553,,,,0.707,,,-2.53,0.01
1964,Bahamas,1.085,8.111,,,,1.085,,,53.37,0.01
1965,Bahamas,1.315,9.392,,,,1.315,,,21.28,0.01
1966,Bahamas,1.092,7.459,,,,1.092,,,-16.99,0.01
1967,Bahamas,1.701,11.145,,,0.338,1.363,,,55.79,0.01
1968,Bahamas,1.628,10.26,,,0.338,1.29,,,-4.31,0.01
1969,Bahamas,1.741,10.597,,,0.403,1.337,,,6.95,0.01
1970,Bahamas,2.569,15.166,,,0.411,2.158,,,47.57,0.02
1971,Bahamas,6.724,38.666,,0.004,0.411,6.309,,,161.75,0.04
1972,Bahamas,6.481,36.44,,,0.487,5.994,,,-3.61,0.04
1973,Bahamas,7.863,43.316,,0.015,0.472,7.376,,,21.31,0.05
1974,Bahamas,7.38,39.868,,0.011,0.393,6.976,,,-6.14,0.04
1975,Bahamas,8.246,43.654,,,0.189,8.057,,,11.74,0.05
1976,Bahamas,6.457,33.475,,,0.133,6.324,,,-21.69,0.04
1977,Bahamas,9.709,49.258,,,0.036,9.673,,,50.35,0.05
1978,Bahamas,6.597,32.743,,,0.159,6.438,,,-32.05,0.03
1979,Bahamas,6.916,33.573,,,0.214,6.701,,,4.83,0.04
1980,Bahamas,7.972,37.856,,,0.223,7.749,,,15.28,0.04
1981,Bahamas,2.798,12.997,,0.066,0.014,2.719,,,-64.9,0.01
1982,Bahamas,2.258,10.257,,0.037,0.031,2.191,,,-19.29,0.01
1983,Bahamas,2.014,8.949,,,0.01,2.004,,,-10.81,0.01
1984,Bahamas,1.854,8.064,,,,1.854,,,-7.96,0.01
1985,Bahamas,1.51,6.435,,,,1.51,,,-18.58,0.01
1986,Bahamas,1.411,5.902,,,,1.411,,,-6.55,0.01
1987,Bahamas,1.422,5.844,,,,1.422,,,0.78,0.01
1988,Bahamas,1.539,6.219,,,,1.539,,,8.25,0.01
1989,Bahamas,1.946,7.729,,0.004,,1.942,,,26.43,0.01
1990,Bahamas,2.023,7.894,,0.004,,2.019,,,3.95,0.01
1991,Bahamas,1.997,7.651,,0.004,,1.993,,,-1.27,0.01
1992,Bahamas,1.869,7.024,,0.004,,1.865,,,-6.42,0.01
1993,Bahamas,1.744,6.434,,0.004,,1.74,,,-6.67,0.01
1994,Bahamas,1.77,6.416,,0.004,,1.766,,,1.47,0.01
1995,Bahamas,1.839,6.565,,0.004,,1.836,,,3.93,0.01
1996,Bahamas,1.814,6.387,,0.004,,1.81,,,-1.39,0.01
1997,Bahamas,1.608,5.597,,0.004,,1.605,,,-11.31,0.01
1998,Bahamas,1.99,6.846,,0.004,,1.986,,,23.69,0.01
1999,Bahamas,2.034,6.915,,0.004,,2.03,,,2.21,0.01
2000,Bahamas,2.026,6.798,,0.004,,2.023,,,-0.36,0.01
2001,Bahamas,1.946,6.429,,0.004,,1.942,,,-3.98,0.01
2002,Bahamas,2.037,6.622,,0.004,,2.034,,,4.71,0.01
2003,Bahamas,2.07,6.611,,0.007,,2.063,,,1.62,0.01
2004,Bahamas,2.048,6.423,,0.007,,2.041,,,-1.06,0.01
2005,Bahamas,1.905,5.865,,0.007,,1.898,,,-6.98,0.01
2006,Bahamas,1.854,5.601,,0.007,,1.847,,,-2.69,0.01
2007,Bahamas,1.872,5.549,,0.004,,1.869,,,0.99,0.01
2008,Bahamas,1.916,5.576,,0.004,,1.913,,,2.35,0.01
2009,Bahamas,1.949,5.576,,0.004,,1.946,,,1.72,0.01
2010,Bahamas,1.902,5.358,,0.004,,1.898,,,-2.44,0.01
2011,Bahamas,2.114,5.879,,0.004,,2.11,,,11.18,0.01
2012,Bahamas,2.312,6.359,,0.004,,2.308,,,9.36,0.01
2013,Bahamas,2.704,7.365,,0.004,,2.7,,,16.96,0.01
2014,Bahamas,2.429,6.554,,0.004,,2.426,,,-10.16,0.01
2015,Bahamas,2.136,5.708,,0.004,,2.132,,,-12.07,0.01
2016,Bahamas,1.979,5.235,,0.004,,1.975,,,-7.38,0.01
2017,Bahamas,2.096,5.49,,0.004,,2.092,,,5.93,0.01
2018,Bahamas,2.7,7.002,,0.004,,2.697,,,28.85,0.01
2019,Bahamas,2.638,6.772,,0.006,,2.632,,,-2.32,0.01
2020,Bahamas,2.338,5.945,,0.008,,2.329,,,-11.38,0.01
1933,Bahrain,0.011,0.093,,,,0.011,,,,0.0
1934,Bahrain,0.121,1.023,,,,0.121,,,1000.0,0.0
1935,Bahrain,0.531,4.494,,,,0.531,,,339.39,0.01
1936,Bahrain,1.949,16.486,,,,1.949,,,266.9,0.05
1937,Bahrain,3.254,27.519,,,,3.254,,,66.92,0.07
1938,Bahrain,3.477,29.409,,,,3.477,,,6.87,0.08
1939,Bahrain,3.184,26.954,,,,3.184,,,-8.43,0.07
1940,Bahrain,2.968,25.168,,,,2.968,,,-6.79,0.06
1941,Bahrain,2.851,24.237,,,,2.851,,,-3.95,0.06
1942,Bahrain,2.616,22.321,,,,2.616,,,-8.23,0.05
1943,Bahrain,2.759,23.644,,,,2.759,,,5.46,0.05
1944,Bahrain,2.818,24.253,,,,2.818,,,2.12,0.06
1945,Bahrain,3.063,26.482,,,,3.063,,,8.71,0.07
1946,Bahrain,3.36,29.176,,,,3.36,,,9.69,0.07
1947,Bahrain,3.95,34.45,,,,3.95,,,17.56,0.08
